#SMILES,glaxo_unsuitable_leads,glaxo_unsuitable_natprod,glaxo_reactive,ursu_reactive,alarmnmr,lint_blake-v2,oprea_filters,MLSMR_excluded,MLSMR_allowed,toxic,pains,passes,fails,passrate,failrate
COc1cc2O[C@@H](CC(=O)c2c(O)c1OC)c1ccc(O)cc1,1,1,1,1,0,1,1,0,1,1,1,9,2,81.82,18.18
O[C@H]1[C@@H](Oc2cc(O)cc(O)c2C1=O)c1ccc(O)c(O)c1,1,1,1,1,0,1,1,0,1,1,0,8,3,72.73,27.27
CC(=O)Oc1ccccc1CCC(=O)OCOP(=O)(OCOC(=O)CCc1ccccc1OC(C)=O)Oc1ccc(O)c(C=O)c1,1,1,1,0,0,0,0,0,1,1,0,5,6,45.45,54.55
CCCOC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@@H](C[C@@H]4CC5(CC[C@]4(C)[C@H]3C[C@H](OC(C)=O)[C@]12C)OOC1(CCC(CC1)C(=O)OCCC)OO5)OC(C)=O,1,1,0,0,1,0,0,0,1,1,0,5,6,45.45,54.55
C[C@H](CCC(=O)NCCN(C)C)[C@H]1CC[C@H]2[C@@H]3[C@@H](C[C@@H]4CC5(CC[C@]4(C)[C@H]3C[C@H](OC(C)=O)[C@]12C)OOC1(CCC(CC1)C(=O)NCCN(C)C)OO5)OC(C)=O,1,1,0,0,1,0,0,0,1,0,0,4,7,36.36,63.64
CN(CC(O)CNCCCn1ccnc1)S(=O)(=O)c1cccc2cnccc12,1,1,1,1,0,1,1,0,1,1,0,8,3,72.73,27.27
CN(CC(O)CNCc1ccc(Cl)cc1)S(=O)(=O)c1cccc2cnccc12,1,1,1,1,0,1,1,0,1,1,0,8,3,72.73,27.27
Cc1ccc(NC(N)=N)cc1C,1,1,1,1,1,1,1,0,1,1,0,9,2,81.82,18.18
NC(=N)Nc1ccc(cc1)N1CCN(CC1)c1ccc(NC(N)=N)cc1,1,1,1,1,0,1,1,0,1,1,0,8,3,72.73,27.27
C(Cc1ccc(NC2=NCCN2)cc1)c1ccc(NC2=NCCN2)cc1,1,1,1,1,1,1,1,1,1,1,1,11,0,100,0
NC(=N)Nc1ccc(CCc2ccc(NC(N)=N)cc2)cc1,1,1,1,1,1,1,1,0,1,1,0,9,2,81.82,18.18
CCN(CC)c1ccc(NC(N)=N)cc1,1,1,1,1,0,1,1,0,1,0,0,7,4,63.64,36.36
[Cl-].O=C(Nc1ccccc1)c1ccc(NC2=NCCN2)cc1,1,1,1,1,1,1,0,1,1,1,1,10,1,90.91,9.09
CCCN(CCC)CCCN1CCN(CCCNC(=O)[C@]23CC[C@@H](C)[C@H](C)[C@H]2C2=CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]2(C)CC3)CC1,1,1,1,1,1,1,0,0,1,1,1,9,2,81.82,18.18
C(c1ccccc1)c1ccc(NC2=NCCN2)cc1,1,1,1,1,1,1,1,1,1,1,1,11,0,100,0
NC(=N)Nc1ccc(Cc2ccccc2)cc1,1,1,1,1,1,1,1,0,1,1,0,9,2,81.82,18.18
CCN(CC)c1ccc(\C=N\Nc2c3CCCCc3nc3ccccc23)cc1,1,1,1,1,0,0,1,1,1,0,1,8,3,72.73,27.27
Clc1ccc2c(N\N=C\c3ccco3)ccnc2c1,1,1,1,1,0,0,1,1,1,1,1,9,2,81.82,18.18
Cc1cccc(\C=N\Nc2ccnc3cc(Cl)ccc23)n1,1,1,1,1,0,0,1,1,1,1,1,9,2,81.82,18.18
Fc1ccc(cc1)C(c1ccc(Cl)cc1)(c1ccc(CN2CCCC2)cc1)n1ccnc1,1,1,1,1,1,1,1,0,1,1,1,10,1,90.91,9.09
C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](CC3(C[C@H]4O[C@@H]5O[C@]6(C)CC[C@H]7[C@H](C)CC[C@@H]([C@H]4C)[C@@]57OO6)COC4(CCC(=O)CC4)O3)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@@]23OO4,1,1,0,0,1,0,0,0,1,1,0,5,6,45.45,54.55
Clc1ccc2c(ccnc2c1)N1CC1,0,1,1,0,1,0,0,0,1,0,0,4,7,36.36,63.64
O=C(NC\C=C\S(=O)(=O)c1ccccc1)CN1C(=O)[C@@H](COC(=O)Nc2ccc(Cl)cc2C(F)(F)F)N=C(c2ccccc2)c2ccccc12,1,1,1,0,0,0,0,1,1,0,0,5,6,45.45,54.55
COc1ccc2nc(C)cc(N\N=C\c3ccc4OCOc4c3)c2c1,1,1,1,1,0,0,1,1,1,1,1,9,2,81.82,18.18
COc1c(C)c(Cc2ccc(CC(=O)NCCNc3ccnc4cc(Cl)ccc34)cc2)c(OC)c2ccccc12,1,1,1,1,1,1,1,1,1,0,0,9,2,81.82,18.18
Clc1ccc2c(ccnc2c1)C(c1ccc(CN2CCCC2)cc1)n1ccnc1,1,1,1,1,1,1,1,1,1,1,1,11,0,100,0
COc1ccc(\C=N\Nc2ccnc3c(OC)cccc23)cc1,1,1,1,1,0,0,1,1,1,1,1,9,2,81.82,18.18
C(N1CCCC1)c1ccc(cc1)C(c1ccnc2ccccc12)n1ccnc1,1,1,1,1,1,1,1,1,1,1,1,11,0,100,0
Clc1cccc(c1)C(c1ccc(CN2CCNCC2)cc1)n1ccnc1,1,1,1,1,1,1,1,1,1,1,1,11,0,100,0
COc1ccc2nccc(N\N=C\c3ccc4ccccc4n3)c2c1,1,1,1,1,0,0,1,1,1,1,1,9,2,81.82,18.18
CCS(=O)(=O)\C=C\[C@H](CCc1ccccc1)NC(=O)CN1C(=O)[C@@H](COC(=O)Nc2ccc(Cl)cc2C(F)(F)F)N=C(c2ccccc2)c2ccccc12,1,1,1,0,0,0,0,0,1,0,0,4,7,36.36,63.64
O=C(N[C@@H](CCc1ccccc1)\C=C\S(=O)(=O)c1ccccc1)CN1C(=O)[C@@H](COC(=O)Nc2ccc(Cl)cc2C(F)(F)F)N=C(c2ccccc2)c2ccccc12,1,1,1,0,0,0,0,0,1,0,0,4,7,36.36,63.64
CCN(CC)Cc1ccc(cc1)C(c1cccc(Cl)c1)n1ccnc1,1,1,1,1,1,1,1,1,1,1,1,11,0,100,0
C1CCC2(CC1)OOC1(O2)C2CC3CC(C2)CC1C3,1,1,0,0,1,0,0,0,1,1,0,5,6,45.45,54.55
CN(C)CCCOc1ccccc1CN1CC[C@@H](C1)NC(=O)c1ccc(Cl)c(Cl)c1,1,1,1,1,0,1,1,1,1,1,1,10,1,90.91,9.09
COc1ccc(NC(=O)[C@H](Cc2ccccc2)Nc2cc(C)nc(NCCc3cccs3)n2)cc1,1,1,1,1,0,1,1,1,1,1,0,9,2,81.82,18.18
CC(=O)Nc1ccc(CN2CCCN(CC2)c2cc(NC(=O)c3cccc(C)c3)ccn2)cc1,1,1,1,1,0,1,1,1,1,1,1,10,1,90.91,9.09
CN1CCN(CC(O)CNC(=O)Nc2ccc(Br)cc2)CC1,1,1,1,1,0,0,1,0,1,1,0,7,4,63.64,36.36
COc1ccc(cc1OC)C1N=C(N)N=C(N)N1c1ccc(Cl)cc1,1,1,1,1,0,1,1,1,1,1,1,10,1,90.91,9.09
CC(CCNc1c2ccccc2nc2ccccc12)N1CCN(C)CC1,1,1,1,1,1,0,1,0,1,0,1,8,3,72.73,27.27
CCn1c(nc2c(ncc(OCCCN)c12)-c1cccc(NC(=O)Nc2ccccc2Cl)c1)-c1nonc1N,1,1,1,1,0,0,1,1,1,1,1,9,2,81.82,18.18
CCCOc1cc2CC(C)N=C(C=Cc3ccc(Cl)cc3Cl)c2cc1OCCC,1,1,1,1,1,1,1,1,1,0,1,10,1,90.91,9.09
Cn1nccc1C(=O)NCCNCc1cccc(c1)-c1ccc(s1)-c1nc2cc(ccc2[nH]1)C(F)(F)F,1,1,1,1,0,1,1,1,1,0,0,8,3,72.73,27.27
O=S(=O)(NCCN1CCCC1)c1ccc(cc1)-c1ccc(CNCc2ccsc2)cc1,1,1,1,1,0,1,1,0,1,1,0,8,3,72.73,27.27
